# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE77283|methylation_array|Homo sapiens|12|GSE77283_RAW.tar(183MB), GSE77283_signal_intensities.txt.gz(31MB)|epigenetics,reproduction,cell_stress|Genome-wide methylation profiles of menstrual blood and vaginal fluid|ability predict type tissues cells molecular crime scene samples practical implications forensics order identify body fluid-specific DNA changes profiling carried fluids obtained female donors aged|
GSE66919|wgbs|Cordyceps militaris|2|GSE66919_RAW.tar(17MB)|development,epigenetics,infectious_disease,reproduction|Genome-wide analysis of DNA methylation in the sexual stage of the insect pathogenic fungus Cordyceps militaris|asexual stages basic epigenetic eukaryotes patterns vary among diverse taxa fungi various effects biological processes development readily performing reproduction remarkably rich model understandin|
GSE81312|medip_seq|Oryzias melastigma|4|GSE81312_RAW.tar(12MB)|epigenetics,reproduction,cell_stress|MeDIP on the marine medaka sperm (Oryzias melastigma)|Hypoxia amongst most widespread pressing problems aquatic environments first time fish exposed reproductive impairments generations despite progenies germ cells having never further transgenerational|
GSE81228|other_methylation|Homo sapiens|27|GSE81228_RAW.tar(456MB)|cancer,reproduction|DNA methylome analyses implicate fallopian tube as the tissue of origin for high grade serous ovarian cancer|SuperSeries composed SubSeries listed|
GSE81227|methylation_array|Homo sapiens|7|GSE81227_RAW.tar(108MB)|cancer,reproduction|DNA methylome analyses implicate fallopian tube as the tissue of origin for high grade serous ovarian cancer [seq]|cell HGSC controversial While disease traditionally assumed arise surface epithelium OSE recent work supports alternative model implicating fimbriae FTE comparative means test two competing models|
GSE81116|other_methylation|Mus musculus|3|GSE81116_RAW.tar(280MB)|development,epigenetics|Genome-wide map of DNA methylation to unravel the function of EBF1 C-terminus domain|status profiled Empty Ebf1wt Ebf1DC transduced progenitor cells|
GSE75941|other_methylation|Homo sapiens|3|GSE75941_RAW.tar(4MB)|development,metabolism,epigenetics,reproduction|5-hydroxymethylcytosine-mediated alteration of transposon activity associated with Preeclampsia|gestational diabetes mellitus GDM two most common clinical conditions pregnancy adverse utero environments fetus Fetal exposure poor uterus raises risk future adulthood disorders origins adult|
GSE77780|rrbs|Mus musculus|5|GSE77780_rrbs.txt.gz(492KB)|development,epigenetics,infectious_disease|Protracted NP95 binding to hemimethylated DNA disrupts SETDB1-mediated proviral silencing [RRBS-seq]|Genetic ablation maintenance methyltransferase Dnmt1 induces widespread demethylation transcriptional activation CpG-rich IAP intracisternal particle proviruses report phenomenon simply consequence|
GSE77844|other_methylation|Mus musculus|2|GSE77844_RAW.tar(930KB)|immunology,development|TET2 Regulates Mast Cell Differentiation and Proliferation through Catalytic and Non-catalytic Activities.|Dioxygenases family impact genome converting 5-methylcytosine DNA 5-hydroxymethylcytosine 5hmC contribution immune cells still incompletely understood crucial regulator Specifically impaired absence|
GSE81015|methylation_array|Homo sapiens|12|GSE81015_RAW.tar(278MB), GSE81015_signal_intensities.txt.gz(29MB)|neuroscience,epigenetics,infectious_disease,eye_vision|Genome-wide DNA methylation analysis of WERI-Rb-1 (retinal cells) infected with Toxoplasma gondii over time|patterns following infection parasite clinically relevant line course hours Parasites washed off ensure changes truly reflective on-going invasion|
GSE80973|hmc_seq|Mus musculus; synthetic construct|10|GSE80973_RAW.tar(123MB), GSE80973_README.txt.gz(1KB)|development,epigenetics,gene_regulation|Single-cell 5hmC sequencing reveals chromosome-wide cell-to-cell variability and enables lineage reconstruction|epigenetic DNA modification 5-hydroxymethylcytosine crucial development gene regulation Quantifying abundance mark level understand present genome-wide strand-specific technology glucosylation|
GSE68747|methylation_array|Homo sapiens|5|GSE68747_average_betas.txt.gz(12MB), GSE68747_RAW.tar(183MB), GSE68747_signal_intesities.txt.gz(12MB)|epigenetics,plant_biology|Genome-wide DNA methylation analysis identifies novel hypomethylated non-pericentromeric genes with potential clinical implications in ICF|Immunodeficiency instability facial anomalies syndrome rare autosomal recessive disease characterized severe hypomethylation regions chromosomes marked majority patients present mutations DNMT3B|
GSE78815|rrbs|Mus musculus|12|GSE78815_Group.common.coverage.10.annot.cov.txt.gz(147MB), GSE78815.RRBS.Readme.txt(2KB), GSE78815_Sample.common.coverage.10.annot.cov.txt.gz(53MB)|cancer,immunology,development,epigenetics,cell_cycle|B-cell Division DNA methylation [RRBS_2]|cells humoral immunity differentiating antibody secreting plasma Differentiation dependent transcriptional changes commitment lineages epigenetic early events plasmablasts undergo dynamic gene|
GSE76709|methylation_array|Homo sapiens|8|GSE76709_normalized_matrix.txt.gz(8MB), GSE76709_RAW.tar(249MB)|cancer,epigenetics,drug_response|Genome-wide DNA methylation analysis of Romidpesin treated GCC cell lines|Illumina 450k microarray TCam-2 2102EP NCCIT JAR cells nanomolar Romidepsin application DMSO controls part article Histone Deacetylase Inhibitor Novel Therapeutic Option Cisplatin-resistant Germ|
GSE75963|rrbs|Homo sapiens|2|GSE75963_RAW.tar(371MB)|epigenetics,cell_stress|Methylation profile generated by reduced representation bisulfite sequencing (RRBS) of H2O2-treated and untreated HCT116 cells|DNA important regulatory contributes transcriptional repression examine affects changes repair genes under H2O2-induced oxidative stress|
GSE73412|methylation_array|Homo sapiens|74|GSE73412_RAW.tar(788MB), GSE73412_signal_intensities.txt.gz(313MB)|development,epigenetics,plant_biology|Epigenetic Pattern on the Human Y Chromosome is Evolutionarily Conserved|DNA methylation important mammalian development Y-chromosome serves powerful tool because transferred males deep-rooted pedigrees latest phylogenetic tree donors comparing respective levels|
GSE72874|methylation_array|Homo sapiens|320|GSE72874_RAW.tar(2.3GB)||Methylome and transcriptome of EAC|SuperSeries composed SubSeries listed|
GSE72873|methylation_array|Homo sapiens|70|GSE72873_RAW.tar(138MB)|epigenetics|Methylome and transcriptome of EAC (expression)|genome-wide methylation profile 250 samples 125 Barrett normal adjacent squamous stomach first use ENCODE characterize regulatory|
GSE72872|methylation_array|Homo sapiens|250|GSE72872_RAW.tar(2.1GB)|epigenetics|Methylome and transcriptome of EAC (methylation)|genome-wide profile 250 samples 125 Barrett normal adjacent squamous stomach first use ENCODE characterize regulatory|
GSE70293|rrbs|Mus musculus|9|GSE70293_Bcell.CpG.collapse.minCov.10.bedGraph.gz(8MB), GSE70293_DML.Bcell.v.PB.sig.0.01.minDiff.0.2.Group.common.coverage.10.annot.bed.gz(117KB), GSE70293_DML.Bcell.v.PC.sig.0.01.minDiff.0.2.Group.common.coverage.10.annot.bed.gz(597KB), GSE70293_PB.CpG.collapse.minCov.10.bedGraph.gz(8MB), GSE70293_PC.CpG.collapse.minCov.10.bedGraph.gz(8MB), GSE70293.README.txt(3KB), GSE70293_README.txt(3KB), GSE70293_Sample.group.common.coverage.10.annotGene.cov.txt.gz(39MB)|cancer,immunology,development,epigenetics|B-cell Differentiation is Regulated by Targeted DNA Hypomethylation [RRBS_1]|cells humoral immunity differentiating antibody secreting plasma dependent division transcriptional changes commitment lineages epigenetic early events plasmablasts undergo dynamic gene expression|
GSE72120|methylation_array|Homo sapiens|72|GSE72120_matrix_signal_intensities.txt.gz(159MB), GSE72120_RAW.tar(761MB), GSE72120_README_characteristics_definitions.txt(2KB)|neuroscience,development,epigenetics|Epigenomic profiling of preterm infants reveals DNA methylation differences at sites associated with neural function|DNAm plays determining cell fate molecular link early life stress life-course neuropsychiatric disease birth profound environmental stressor closely alterations connectivity systems long-term|
GSE59988|other_methylation|Homo sapiens|11|GSE59988_Placenta_fragment_methylation.txt.gz(411KB)|immunology,epigenetics,reproduction|The human placenta exhibits dichotomised DNA methylation pattern compared to homogenous somatic tissue|sought genome-wide patterns blood neutrophils|
GSE74165|wgbs|Mus musculus|11|GSE74165_RAW.tar(171MB)|cancer,development,metabolism,epigenetics,hematopoiesis,plant_biology,liver|Dnmt3a regulates myeloproliferation and liver-specific homing and expansion of hematopoietic stem and progenitor cells (Bisulfite-Seq)|mutations myeloid malignancies myeloproliferative neoplasms MPN myelodysplastic syndromes MDS acute leukemia AML impact conditional loss disease phenotype primary mice ablation led lethal fully|
GSE75485|rrbs|Mus musculus|26|GSE75485_RAW.tar(1.1GB)|neuroscience,development,epigenetics,drug_response|Conservation of parental genomic imprinting by cortex generated from embryonic stem cells [RRBS-seq]|vitro ESCs model system investigate corticogenesis promising tool cortical therapy fundamental question implications understanding therapeutically determine reproduces fine-tuned epigenetic|
GSE69270|methylation_array|Homo sapiens|184|GSE69270_Processed450BeadchipData_Beta_values_with_Pvalues_YFS_KananenL.txt.gz(605MB), GSE69270_Raw_450BeadchipData_M_U_P_values_YFS_KananenL.txt.gz(488MB), GSE69270_RAW.tar(183MB)|epigenetics,aging|Aging-associated DNA methylation changes in middle-aged individuals: The Young Finns Study|Background Chronological human methylome studied multiple epigenome-wide association EWAS DNAmet among different groups tissues vary especially rates alterations epigenome adulthood further explore|
GSE76982|other_methylation|Neurospora crassa|7|GSE76982_metafile.txt.gz(188B), GSE76982_RAW.tar(532MB)|epigenetics,microbiology,cell_stress|Histone H1 limits DNA methylation in Neurospora|wildtype mutants lacking increased absent|
GSE68330|other_methylation|Homo sapiens|6|GSE68330_RAW.tar(404MB)|neuroscience,development|DIP-seq analysis of 5mC and 5hmC distributions in hESCs and day 12 neural cells|specifically distributed undifferentiated|
GSE72208|other_methylation|Mus musculus; Danio rerio|17|GSE72208_Hs_species-specific_liver_HMR.bed.gz(840B), GSE72208_Hs_species-specific_testis_HMR.bed.gz(752B), GSE72208_HsTc1_shared_liver_HMR.bed.gz(4KB), GSE72208_HsTc1_shared_testis_HMR.bed.gz(4KB), GSE72208_Tc1_species-specific_liver_HMR.bed.gz(2KB), GSE72208_Tc1_species-specific_testis_HMR.bed.gz(2KB)|epigenetics,gene_regulation|An evolutionarily conserved DNA-encoded logic shapes CpG island formation|methylation epigenetic modification vertebrate genome contributes transcriptional repression imprinting X-chromosome inactivation While majority blanketed regions islands CGIs remarkably refractory|
GSE80302|wgbs|Arabidopsis thaliana|5|GSE80302_RAW.tar(719MB)|epigenetics,drug_response|The SUMO E3 ligase-like proteins PIAL1 and PIAL2 interact with MOM1 and form a novel complex required for transcriptional silencing [Bisulfite-seq]|MORPHEUS MOLECULE1 contributes gene remained elusive since first characterized Amedeo 2000 report two PIAS INHIBITOR ACTIVATED STAT type redundantly mediate target loci physically other|
GSE66028|rrbs|Mus musculus|4|GSE66028_RAW.tar(126MB)|cancer,neuroscience,development,epigenetics,gene_regulation,cell_cycle|Functional characterization of DNA methylation in the oligodendrocyte lineage [ERRBS]|Myelination CNS modulated interplay transcription factors recruitment chromatin modifying enzymes network built genome-wide transcriptomic profiling sorted cells integrates oligodendrocyte-specific|
GSE75196|methylation_array|Homo sapiens|24|GSE75196_RAW.tar(378MB)|epigenetics,reproduction|DNA methylation profiles in preeclampsia and healthy control placentas|Genome wide profiling normal placental samples Illumina Infinium HumanMethylation450 BeadChip 450K array obtain included uncomplicated pregnancies affected|
GSE74430|other_methylation|Chlamydomonas reinhardtii; Plasmodium falciparum; Penicillium chrysogenum|4|GSE74430_RAW.tar(472MB)|development,kidney|Characterization of eukaryotic DNA N6-methyladenine by a highly sensitive restriction enzyme-assisted sequencing|interrogate single-base resolution 6mA sites genome-wide develop DA-6mA-seq DpnI-Assisted optimized method taking advantage DpnI exclusively cleaves methylated recognizes other sequence motifs|
GSE80096|medip_seq|Sus scrofa|6|GSE80096_DMRs_peaks.xlsx(4MB)|development,metabolism,epigenetics|DNA methylation landscape of fat deposit and fatty acid composition variation in obese and lean pigs|type breeds obvious differences diversities related phenotypic differentiation clarified employed Landrace leaner Western breed Rongchang Chinese models survey genome-wide backfat adipose methylated|
GSE79648|methylation_array|Homo sapiens|24|GSE79648_Methylated_Intensities.txt.gz(66MB), GSE79648_P-Values.txt.gz(2MB), GSE79648_RAW.tar(376MB), GSE79648_Unmethylated_Intensities.txt.gz(66MB)|cancer,epigenetics,cell_stress|Epigenome analysis of dnmt target sites [3ABDKO cell line]|wide DNA methylation profiling dnmt3b isoforms HCT derivative followed 5-Aza-CdR treatment Illumina Infinium 450k Human Beadchip obtain profiles across approximately 450 000 CpGs|
GSE68344|methylation_array|Homo sapiens|56|GSE68344_RAW.tar(638MB)||Epigenome analysis of dnmt target sites|SuperSeries composed SubSeries listed|
GSE68342|methylation_array|Homo sapiens|24|GSE68342_MethylationIntensities.txt.gz(130MB), GSE68342_RAW.tar(380MB)|cancer,epigenetics,cell_stress|Epigenome analysis of dnmt target sites [3BK0 cell line]|wide DNA methylation profiling dnmt3b isoforms HCT derivative 3BKO followed 5-Aza-CdR treatment Illumina Infinium 450k Human Beadchip obtain profiles across approximately 450 000 CpGs|
GSE62670|methylation_array|Homo sapiens|8|GSE62670_1131_Duymich_background_corrected_beta_values.txt.gz(30MB), GSE62670_1131_Duymich_uncorrected_beta_values.txt.gz(30MB), GSE62670_HM450_SNP_repeat_masking_120913.csv.gz(5MB), GSE62670_RAW.tar(248MB), GSE62670_signal_intensities.txt.gz(45MB)|epigenetics,cell_stress|Epigenome analysis of dnmt target sites [DKO8 cell line]|wide DNA methylation profiling dnmt3b isoforms HCT derivative Illumina Infinium 450k Human Beadchip obtain profiles across approximately 450 000 CpGs|
GSE69894|other_methylation|Homo sapiens|31|GSE69894_methylCRF54_header.txt.gz(307B), GSE69894_methylCRF54.txt.gz(835MB)|cancer,development,epigenetics,cell_stress|Mapping of variable DNA methylation across multiple cell types defines a dynamic regulatory landscape of the human genome|important epigenetic modification many biological processes diseases mapped changes embryogenesis differentiation cancer genome-wide scale understanding developmental disease-related context steadily|
GSE61242|methylation_array|Homo sapiens|76|GSE61242_RAW.tar(85MB)|neuroscience,epigenetics,aging|Epigenetic assimilation in the aging human brain|drift progressively increases variation DNA modification profiles cells finale divergence elusive explored dynamics transcription later stages life tissues older individuals years become more similar|
GSE60475|other_methylation|Daphnia magna; Daphnia pulex|6|GSE60475_RAW.tar(1.1GB)|epigenetics|Gene body methylation patterns in Daphnia are associated with gene family size|report characterized two species|
GSE67705|methylation_array|Homo sapiens|284|GSE67705_matrix_processed_update.csv.gz(904MB), GSE67705_matrix_signal_update.csv.gz(666MB), GSE67705_RAW.tar(183MB)|epigenetics,infectious_disease,aging,signal_transduction|Methylome-wide analysis of chronic HIV infected patients and healthy controls|Current therapy turned infection condition Clinically suffer prematurely ailments advanced age relationship aging collected large cohort HAART treated subjects recent recapitulated shared phenotype|
GSE45775|methylation_array|Homo sapiens|20|GSE45775_raw_signal_intensities.txt.gz(3MB), GSE45775_RAW.tar(6MB)|neuroscience,epigenetics,cell_stress,signal_transduction|DNA methylation in Hippocampus across Alzheimer Braak Stages|Genome wide profiling normal different samples Illumina Infinium 27k Human Beadchip obtain profiles approximately 000 CpGs included controls I-II III-IV V-VI|
GSE70787|methylation_array|Homo sapiens|158|GSE70787_RAW.tar(712MB)|cancer,epigenetics|Genome-wide methylation profiles in primary intracranial germ cell tumors indicate primordial germ cell origin of germinoma|SuperSeries composed SubSeries listed|
GSE70783|methylation_array|Homo sapiens|77|GSE70783_GA_illumina_methylation_Matrix_signal_intensities.csv.gz(304MB), GSE70783_RAW.tar(183MB)|cancer,epigenetics,infectious_disease|Genome-wide methylation profiles in primary intracranial germ cell tumors indicate primordial germ cell origin of germinoma [Illumina]|pathogenesis iGCTs fully uncovered despite exhaustive genomic analyses means pure characterized global DNA low unique epigenetic feature distinct other subtypes patterns strongly resemble cells PGC|
GSE70782|methylation_array|Homo sapiens|81|GSE70782_RAW.tar(529MB)|cancer,epigenetics,infectious_disease|Genome-wide methylation profiles in primary intracranial germ cell tumors indicate primordial germ cell origin of germinoma [Agilent]|pathogenesis iGCTs fully uncovered despite exhaustive genomic analyses means pure characterized global DNA low unique epigenetic feature distinct other subtypes patterns strongly resemble cells PGC|
GSE87405|medip_seq|Ctenopharyngodon idella|3|GSE87405_RAW.tar(3MB)|immunology,epigenetics,rna_biology|The destiny of the resistance/susceptibility against GCRV has been congenitally destined by epigenetic mechanism in CIK cells (MeDIP-seq)|resistant susceptible monoclonal lines first established ponderable research models nosogenesis hemorrhagic disease samples carried RNA-Seq small next-generation sequencing strategy bioinformatics|
GSE62345|other_methylation|Ovis aries|10|GSE62345_RAW.tar(965MB)|epigenetics|DNA methylation Landscape of body size variation in sheep|Examination statues main subpopulation Chinese Mongolian high quality methylome obtained established list DMRs potentially association|
GSE87192|medip_seq|Danio rerio|8|GSE87192_RAW.tar(95MB)|neuroscience,development,epigenetics|Genome-wide maps of DNA methylation in zebrafish larvae through MeDIP-sequencing after benzo[a]pyrene exposure|research technology detect changes BaP exposed differentially methylated genes many diseases development brain central nervous system high-throughput help understand new toxicity|
GSE87241|wgbs|Homo sapiens|6|GSE87241_hep-base-d15-p05-total.txt.gz(13MB), GSE87241_nor-base-d15-p05-total.txt.gz(9MB), GSE87241_sk-base-d15-p05-total.txt.gz(14MB)|cancer,metabolism,epigenetics,signal_transduction,liver|S-adenosyl-methionine treatment selectively block liver cancer cell lines transformation and invasiveness by alterations of cancer- and invasion specific transcriptome and methylome (Bisulfite-Seq)|SAM ubiquitous donor reported chemo protective activity against molecular footprint unknown inhibits growth hepatocellular carcinoma normal primary cells treated untreated HepG2 SKHep1 reveals|
GSE87165|other_methylation|Mus musculus|12|GSE87165_RAW.tar(6MB)|development,cardiovascular,epigenetics,skeletal_muscle|Sequencing analysis for 5hmC pull-down DNA|gene body regions cardiomyocyte-specific genes cardiomyocytes hypomethylated confirmed methylation demethylated development speculated demethylation active Tet oxidation explore distribution cells|
GSE61970|rrbs|Mus musculus|16|GSE61970_RAW.tar(1.2GB)|cancer,epigenetics|RRBS assessment of global methylation alterations alterations in Dnmt3aKO/FLT3-ITD leukemia|assessed DNA changes two mouse models oncogenic FLT3-driven presence absence|
GSE87014|other_methylation|Malus domestica|3|GSE87014_RAW.tar(4.5GB)||Identification of differentially methylated regions between leaves and young fruits of the apple GDDH13|main objective sequence epigenome Malus domestica doubled haploid Golden Delicious tree secondary identify DNA purified|
GSE61648|other_methylation|Mus musculus|1|GSE61648_RAW.tar(633MB)|development,epigenetics,infectious_disease,cell_stress|Genome-wide characterization of DNMT-deficient mouse ESCs reveals dynamicity of differentially-methylated-regions and its impact on bivalency composition|DMRs pivotal diagnosis/pathogenesis imprinting disorders control imprinted gene expression histone modifications establishment numbers boundaries crosstalk chromatin elusive Herein global profiling|
GSE80175|medip_seq|Homo sapiens|4|GSE80175_RAW.tar(474MB)|cancer,immunology,epigenetics,cell_stress|Inhibition of DNA methylation promotes breast tumor sensitivity to netrin-1 interference [MeDIP-Seq]|animal proof concept sensitize solid tumors antibodies mediating cell apoptosis|
GSE65214|methylation_array|Homo sapiens|24|GSE65214_RAW.tar(183MB), GSE65214_signal_intensities.txt.gz(56MB)|development,epigenetics,hematopoiesis|Global DNA CpG methylation profiling of human embryonic stem cells, fibroblast iPSC, and low passage stromal primed myeloid iPSC before and after conversion to the naïve state||
GSE44430|methylation_array|Homo sapiens|207|GSE44430_RAW.tar(202MB)|development|Comprehensive microarray analysis of reprogramming fidelity in a library of non-integrated induced pluripotent stem cell lines prepared with various derivation methods|SuperSeries composed SubSeries listed|
GSE44424|methylation_array|Homo sapiens|43|GSE44424_RAW.tar(6MB), GSE44424_signal_intensities.txt.gz(6MB), GSE44424.txt.gz(406B)|development,epigenetics,hematopoiesis|Global CpG Methylation profiling of donor cells, induced pluripotent stem cells, and human embryonic stem cells|Illumina 27k Infinium platform low passage episomal stromal-primed myeloid iPSC intermediate fibroblast samples corresponding|
GSE86833|methylation_array|Homo sapiens|39|GSE86833_RAW.tar(677MB)|epigenetics|Critical evaluation of the Illumina MethylationEPIC BeadChip microarray for whole-genome DNA methylation profiling|SuperSeries composed SubSeries listed|
GSE86832|wgbs|Homo sapiens|9|GSE86832_bigTable.tsv.gz(182MB)|epigenetics,gene_regulation|Critical evaluation of the Illumina MethylationEPIC BeadChip microarray for whole-genome DNA methylation profiling [WGBS]|new Infinium covers over 850 000 CpG sites CpGs HumanMethylation450 HM450 additional 413 743 Even though probes improve coverage regulatory elements FANTOM5 enhancers distal proximal ENCODE|
GSE79895|other_methylation|Mus musculus|36|GSE79895_RAW.tar(12MB), GSE79895_wnt1271_250bp_OG.txt.gz(150B), GSE79895_wnt1405_250bp_OG.txt.gz(169B)|development,epigenetics|Imprinted DNA methylation reconstituted at a non-imprinted locus|Background mammals tight regulation cytosine required embryonic development cellular differentiation trans-acting methyltransferases catalyze modification characterized proteins lack sequence|
GSE50967|methylation_array|Homo sapiens|12|GSE50967_RAW.tar(183MB), GSE50967_signal_intensities.txt.gz(32MB)|epigenetics|DNA Methylation profiles of benzene hematotoxicity|identify potential biomarkers occupationally benzene-exposed individuals elucidate|
GSE73518|methylation_array|Homo sapiens|210|GSE73518_RAW.tar(1.2GB)|cancer|Primary neuroblastoma tumors|SuperSeries composed SubSeries listed|
GSE73515|methylation_array|Homo sapiens|105|GSE73515_RAW.tar(1.0GB)|cancer,epigenetics,cell_stress|DNA methylation data from primary neuroblastoma tumors|Genome wide profiling neuroblastomas Illumina 450k array obtain profiles across approximately 485 000 CpGs 105 derived low-risk intermediate-risk high-risk patients|
GSE75400|other_methylation|Rattus norvegicus|10|GSE75400_MBD_aSE_count_matrix.txt.gz(11MB)|neuroscience,epigenetics|Etiology matters - Comparing Genomic DNA Methylation Patterns in Three Rat Models of Acquired Epilepsy (Amygdala stimulation – MBD-seq)|Explore focal relationship gene expression|
GSE75119|other_methylation|Rattus norvegicus|10|GSE75119_MBD_TBI_count_matrix.txt.gz(13MB)|neuroscience,epigenetics|Etiology matters - Comparing Genomic DNA Methylation Patterns in Three Rat Models of Acquired Epilepsy (TBI – MBD-seq)|Explore traumatic brain injury relationship gene expression|
GSE85974|rrbs|Homo sapiens|2|GSE85974_CpG_result_table-2.xls.gz(171KB)|cancer,epigenetics,reproduction|Metformin alters DNA methylation genome-wide via the H19/SAHH axis|determine exposure endometrial cancer cells induce changes global ARK2 incubated followed genome-scale profiling platform improved version Reduced Representation Bisulfite Sequencing RRBS treatment|
GSE85571|methylation_array|Homo sapiens|39|GSE85571_Methylated_and_unmethylated_signal.txt.gz(91MB), GSE85571_RAW.tar(501MB)|drug_response|Optimization of 3-Pyrimidin-4-yl-oxazolidin-2-ones as Allosteric and Mutant Specific Inhibitors of IDH1|High throughput screening subsequent hit validation 4-isopropyl-3 1-phenylethyl amino potent IDH1R132H Synthesis separate diastereomers diastereomer IDH125 most isomer reasonable cellular activity|
GSE85200|other_methylation|Mus musculus|60|GSE85200_RAW.tar(1.1GB)|development,epigenetics,reproduction,plant_biology|Compromised oocyte quality and assisted reproduction contribute to sex-specific effects on offspring outcomes and epigenetic patterning|Clinical increased incidence growth genomic imprinting disorders children conceived Reproductive Technologies ART aberrant DNA methylation implicated propose female infertility make embryos more|
GSE77019|other_methylation|Mus musculus; Homo sapiens|0|GSE77019_complete_metadata.xls.gz(20KB), GSE77019_hBrain_AdFront_Wen.CGmap.gz(4.7GB), GSE77019_hBrain_FCN_Zill.CGmap.gz(5.6GB), GSE77019_hBrain_Hs1570_Zeng.CGmap.gz(4.1GB), GSE77019_hBrain_Hs1832_Zeng.CGmap.gz(2.5GB), GSE77019_hES_PBAT_Tang.CGmap.gz(3.3GB), GSE77019_hFPGC_10wE1_GuoF.CGmap.gz(3.1GB), GSE77019_hFPGC_11wE1_GuoF.CGmap.gz(2.9GB), GSE77019_hFPGC_17wE1_GuoF.CGmap.gz(1.9GB), GSE77019_hFPGC_7w_Tang.CGmap.gz(4.0GB), GSE77019_hFPGC_UW160_Gkoun.CGmap.gz(1.6GB), GSE77019_hMPGC_10wE2_GuoF.CGmap.gz(2.3GB), GSE77019_hMPGC_19wE1_GuoF.CGmap.gz(2.3GB), GSE77019_hMPGC_19wE2_GuoF.CGmap.gz(2.6GB), GSE77019_hMPGC_9w_Tang.CGmap.gz(3.3GB), GSE77019_hMPGC_UW165_Gkoun.CGmap.gz(381MB), GSE77019_hOocyte_AmpMinus_Okae.CGmap.gz(1.8GB), GSE77019_hOocyte_AmpPlus_Okae.CGmap.gz(2.0GB), GSE77019_hOocyte_Rrbs_GuoHS.CGmap.gz(71MB), GSE77019_mBrain_129_Xie.CGmap.gz(3.2GB), GSE77019_mBrain_Cast_Xie.CGmap.gz(2.4GB), GSE77019_mBrain_F1i_Xie.CGmap.gz(3.9GB), GSE77019_mBrain_Rrbs_Meis.CGmap.gz(17MB), GSE77019_mBrain_Rrbs_Smith.CGmap.gz(32MB), GSE77019_mBrain_Wt_GuoJU.CGmap.gz(4.5GB), GSE77019_mES_2line_Kob.CGmap.gz(2.4GB), GSE77019_mES_J1_Seis.CGmap.gz(3.1GB), GSE77019_mES_p01Rrbs_Smith.CGmap.gz(31MB), GSE77019_mES_p02Rrbs_Smith.CGmap.gz(35MB), GSE77019_mES_p032Rrbs_Smith.CGmap.gz(30MB), GSE77019_mES_P0_Ficz.CGmap.gz(1.4GB), GSE77019_mES_Wt_Li.CGmap.gz(3.4GB), GSE77019_mES_Wt_Stad.CGmap.gz(3.7GB), GSE77019_mFPGC_E13p5_Seis.CGmap.gz(1.1GB), GSE77019_mFPGC_E16p5_Seis.CGmap.gz(1.4GB), GSE77019_mMPGC_E13p5_Seis.CGmap.gz(2.5GB), GSE77019_mMPGC_E16p5_Kob.CGmap.gz(3.5GB), GSE77019_mMPGC_E16p5_Seis.CGmap.gz(3.1GB), GSE77019_mOocyte_GV_Kob.CGmap.gz(1.0GB), GSE77019_mOocyte_GV_Shira.CGmap.gz(3.5GB), GSE77019_mOocyte_Rrbs_GuoF.CGmap.gz(33MB), GSE77019_mOocyte_Rrbs_Shen.CGmap.gz(36MB)|neuroscience,development,epigenetics,reproduction,cell_stress|The non-CG methylation is cell-type specific and conserved between human and mouse [Third-party reanalysis]|methylations abundant several mammalian types while biological largely unknown gathered DNA methylomes covering brain neuron cells embryonic stem induced pluripotent iPS primordial germ PGC oocytes|
GSE71402|oxbs_seq|Mus musculus|13|GSE71402_TABseq_hmC_percentage_in_300kb_bins.txt.gz(512KB)|cancer,metabolism,epigenetics,cell_stress,gene_regulation|Tumor hypoxia causes DNA hypermethylation by reducing TET activity (TAB-Seq)|suppressor gene TSG promoters confers growth advantages cancer cells changes arise poorly understood report reduces oxygen-dependent enzymes catalyze de-methylation 5-methylcytosine oxidation occurs|
GSE71399|wgbs|Homo sapiens|4|GSE71399_SeqCapEpi_raw_reads.txt.gz(5MB), GSE71399_SeqCapEpi_results.txt.gz(1MB)|cancer,metabolism,epigenetics,cell_stress,gene_regulation|Tumor hypoxia causes DNA hypermethylation by reducing TET activity (Bisulfite-Seq)|suppressor gene TSG promoters confers growth advantages cancer cells changes arise poorly understood report reduces oxygen-dependent enzymes catalyze de-methylation 5-methylcytosine oxidation occurs|
GSE71398|methylation_array|Homo sapiens|48|GSE71398_RAW.tar(397MB), GSE71398_suppl.methy.BS.signal_intensities.txt.gz(49MB), GSE71398_suppl.methy.TAB.signal_intensities.txt.gz(48MB)|cancer,epigenetics,lung_respiratory,cell_stress|Tumor hypoxia causes DNA hypermethylation by reducing TET activity (BeadChip)|Genome wide profiling normoxic hypoxic non-small-cell lung cancer samples 5mC 5hmC Illumina Infinium 450k Human obtain hydroxymethylation profiles across 485 512 CpGs extracted fresh-frozen included|
GSE60777|other_methylation|Mus musculus|1|GSE60777_RAW.tar(2MB)|development,epigenetics,reproduction,cell_cycle|Active Demethylation of Both Maternal and Paternal Genomes in Mouse Zygotes|epigenomes mammalian sperm oocytes characterized gamete-specific 5-methylcytosine 5mC patterns reprogrammed early embryogenesis establish full developmental potential broadly accepted actively|
