# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE84474|cut_and_run|Homo sapiens; Saccharomyces cerevisiae|126|GSE84474_Cut-and-Run_extract_protocol.rtf.gz(9KB), GSE84474_Cut_and_Run_human.rtf.gz(9KB), GSE84474_Cut_and_Run_human_size_selection.rtf.gz(9KB), GSE84474_Cut-and-Run_PEG_protocol.rtf.gz(2KB), GSE84474_Cut-and-Run_spike-in_protocol.rtf.gz(2KB), GSE84474_Cut-and-Run_total_DNA_protocol.rtf.gz(2KB), GSE84474_Native_ChIP.rtf.gz(9KB), GSE84474_RAW.tar(9.7GB)|epigenetics,microbiology,cell_stress,gene_regulation|Cut-and-Run in situ factor profiling maps DNA binding and 3D contact sites at high resolution|Unlike Chromatin Immunoprecipitation ChIP fragments solubilizes total allowing high-resolution mapping probing local environment applied yeast human nuclei yielded precise transcription profiles|
GSE173358|cut_and_run|Mus musculus|6|GSE173358_H3AC_rpkm_table.txt.gz(713KB)|development,metabolism,epigenetics,aging,skeletal_muscle,gene_regulation,liver|The ageing epigenome regulates stem cell fate via mitochondrial-derived vesicles delivery of citrate carrier to lysosomes [CUT&RUN_H3AC]|report MSC exhibit reduced metabolic rates lower lipid biosynthesis elevated acetyl-CoA levels aged cells display chromatin compaction histone hypo-acetylation particularly enhancers genes|
GSE160093|cut_and_run|Homo sapiens|4|GSE160093_RAW.tar(2MB)|cancer,development,metabolism,hematopoiesis,crispr_gene_editing,plant_biology,liver|Mapping the Cellular Origin and Early Evolution of Down Syndrome Leukemogenesis [CUT&RUN]|Children 150-fold increased risk developing myeloid leukemia initiates fetal development sought characterize preleukemic initiation leukemic progression CRISPR/Cas9-mediated editing human disomic|
GSE155714|cut_and_run|Mus musculus|12|GSE155714_H3K27AC_rpkm_table.txt.gz(893KB), GSE155714_H3K27ME3_rpkm_table.txt.gz(1MB)|development,metabolism,epigenetics,aging,skeletal_muscle,gene_regulation,liver|The ageing epigenome regulates stem cell fate via mitochondrial-derived vesicles delivery of citrate carrier to lysosomes [CUT&RUN]|report MSC exhibit reduced metabolic rates lower lipid biosynthesis elevated acetyl-CoA levels aged cells display chromatin compaction histone hypo-acetylation particularly enhancers genes|
GSE155253|cut_and_run|Homo sapiens|8|GSE155253_RAW.tar(8MB)|cancer,development,hematopoiesis,gene_regulation|A Congenital Anemia Dissociates the Pleiotropic Functions of Master Transcription Factor GATA1 [Patient Cut&Run]|regulators hematopoietic play essential orchestrating lineage commitment differentiation1 precise TFs regulate interactions specific cis-regulatory elements incompletely understood2 characterize|
GSE180446|cut_and_run|Homo sapiens|10|GSE180446_RAW.tar(1022MB)|cancer,epigenetics,gut_intestine,gene_regulation|EZH2 non-canonically binds cMyc and p300 through a cryptic transactivation domain to mediate gene activation and promote oncogenesis [CUT&RUN]|Enhancer Zeste Homolog serves catalytic subunit Polycomb Repressive Complex PRC2 mediating H3K27me3 deposition transcriptional repression report MLL1-rearranged acute leukemias additional|
GSE192370|cut_and_tag|Homo sapiens|26|GSE192370_RAW.tar(818MB)|epigenetics,cell_stress,gene_regulation|Genome-wide maps of HSF1 phase separation in heat shock and non-heat shock cells|binds DNA via DBD domain causing gene upregulation assessed effect RD-mediated chromatin targeting Cut Tag followed high-throughput sequencing binding LLPS-competent versus LLPS-incompetent mutants|
GSE176148|cut_and_tag|Mus musculus|4|GSE176148_GenewiseCounts.tsv.gz(277KB), GSE176148_RAW.tar(750KB)|immunology,epigenetics,lung_respiratory,skeletal_muscle,hematopoiesis,crispr_gene_editing,microbiology,rna_biology|H3K27me3 Cut&Tag profiling of bone marrow-derived alveolar macrophages from wildtype and Suz12 knockout mice|forefront immune responses transcriptional programs modified tissue environment response immunological challenge Post-translational modifications histones histone lysine tri-methylation polycomb|
GSE179580|cut_and_run|Mus musculus|18|GSE179580_H3K27me3_Ino80cKO.bw(153MB), GSE179580_H3K27me3_Ino80WT.bw(132MB), GSE179580_IgG_Ino80cKO.bw(161MB), GSE179580_IgG_WT.bw(27MB), GSE179580_Suz12_Ino80cKO.bw(120MB), GSE179580_Suz12_Ino80WT.bw(181MB)|neuroscience,development,epigenetics,reproduction,cell_stress,cell_cycle|INO80 requires a polycomb subunit to regulate the establishment of poised chromatin in murine spermatocytes [CUT&RUN]|catalytic multi-subunit INO80-chromatin remodeling complex implicated DNA replication repair transcription regulation Ino80-deficiency Ino80cKO pachytene arrest due incomplete synapsis aberrant|
GSE191063|cut_and_tag|Mus musculus|12|GSE191063_RAW.tar(970MB)|neuroscience,epigenetics,microbiology,cell_cycle|Genome-wide profiling of DNA G-quadruplexes in living neurons|report mapping histone modifications primary cultured fetus mouse cortex cells treated Ara-C DIV3 prevent proliferation mitotic harvested DIV10 iG4 CUT Tag BG4-expressing plasmid transfected|
GSE190450|cut_and_tag|Mus musculus|4|GSE190450_Microglia_KOVSMicroglia_WT_down_withDescription_2.anno.xlsx(261KB), GSE190450_Microglia_KOVSMicroglia_WT_up_withDescription.anno.xlsx(454KB)|immunology,neuroscience,development,epigenetics,gene_regulation|Microglia homeostasis mediated by epigenetic ARID1A to regulate neural progenitor cells response in brain development|report genomic characterization H3K9me3 occupancy E14 CUT Tag experiment antibody against generated genome-wide prone bind promoters intergenic regions number proximity transcription start sites|
GSE185741|cut_and_tag|Mus musculus|4|GSE185741_RAW.tar(299MB)|epigenetics|GFP CUT&Tag from P18 wild type and Zfp541-EGFP mouse testes|evaluate chromatin binding|
GSE174250|cut_and_run|Drosophila melanogaster|28|GSE174250_RAW.tar(1.0GB)|epigenetics,kidney,cell_stress|Cut&Run in Drosophila melanogaster control, mutant and knockdown ovaries|H3K27me3 profiles Cleavage under targets Release nuclease impact chromatin lid Sin3a Snr1 mod mdg4 gene selectively knocked tissue-specific shRNA expression additionally explored H3K9me3 dhd either|
GSE182728|cut_and_run|Homo sapiens|6|GSE182728_H1836Sox2_All_d_peaks.narrowPeak.gz(16MB), GSE182728_H29Sox2_All_d_peaks.narrowPeak.gz(12MB), GSE182728_H82Sox2_All_d_peaks.narrowPeak.gz(6MB)|cancer,lung_respiratory|SOX2 Genomic Localization in Small Cell Lung Cancer Cell Lines|utilized CUT RUN assess genome-wide binding human|
GSE173724|cut_and_run|Human gammaherpesvirus 8; Homo sapiens|15|GSE173724_RAW.tar(1.8GB)|immunology,development,infectious_disease,rna_biology,gene_regulation,eye_vision|Targeting MYC Transcription with Small Peptide Derived from KSHV Transactivator (CUT&RUN)|Herpesviruses rely host cell translation machineries replication Viral proteins redirect multiple cellular herpesvirus replicating cells gene frequently down-regulated because important|
GSE183475|cut_and_run|Homo sapiens|8|GSE183475_RAW.tar(1.1GB)|cancer,epigenetics,gene_regulation|EP300 selectively controls the enhancer landscape of MYCN-amplified neuroblastoma [CUT&RUN]|Gene expression regulated promoters enhancers marked histone H3-lysine-27 acetylation H3K27ac established paralogous acetyltransferases HATs CBP enzymes display overlapping regulatory untransformed|
GSE179218|cut_and_tag|Rattus norvegicus|3|GSE179218_ChIPseeker_Ctrl_HA.xlsx(4MB), GSE179218_ChIPseeker_Myocd-LSD1_HA.xlsx(1MB), GSE179218_RAW.tar(27MB)|development,cardiovascular,epigenetics,skeletal_muscle,signal_transduction|H3K4 di-methylation controls smooth muscle cell lineage identity and vascular homeostasis [CUT&Tag_HA-TET2]|Epigenetic lineage-specific gene expression essential differentiation acquisition specialized tissue uncovered unique pathway critical governing cells presenting milieu-dependent phenotypic|
GSE179217|cut_and_tag|Rattus norvegicus|13|GSE179217_Chipseeker_Ctrl_H3K4me2.xlsx(6MB), GSE179217_Chipseeker_FLAG.xlsx(4MB), GSE179217_Chipseeker_Myocd-LSD1_H3K4me2.xlsx(6MB), GSE179217_chipseeker_Myocd-LSD1NF_H3K4me2.xlsx(6MB), GSE179217_Diffbind_Myocd-LSD1_Myocd-LSD1NF.xlsx(396KB), GSE179217_RAW.tar(259MB)|development,cardiovascular,epigenetics,skeletal_muscle,signal_transduction|H3K4 di-methylation controls smooth muscle cell lineage identity and vascular homeostasis [CUT&Tag_H3K4me2_FLAG]|Epigenetic lineage-specific gene expression essential differentiation acquisition specialized tissue uncovered unique pathway critical governing cells presenting milieu-dependent phenotypic|
GSE186608|cut_and_run|Homo sapiens|12|GSE186608_RAW.tar(440MB)|cancer,epigenetics,infectious_disease,gene_regulation,signal_transduction|Endogenous retroviruses mediate transcriptional rewiring in response to oncogenic signaling in colorectal cancer [CUT&RUN]|cells exhibit rewired regulatory networks promote tumor growth survival processes configure pathological poorly understood pan-cancer epigenomic primate-specific ERVs abundant source enhancers|
GSE169616|cut_and_run|Homo sapiens|10|GSE169616_RAW.tar(2.0GB)|cancer,immunology,development,epigenetics,gene_regulation|Retinoic acid rewires the adrenergic core regulatory circuitry of neuroblastoma but can be subverted by enhancer hijacking of MYC or MYCN (CUT&RUN-Seq)|cell identity depends CRC transcription factors incorporate drive oncogenic gene expression program neuroblastomas dependent treatment retinoids inhibit growth induce differentiation primary lines|
GSE179266|cut_and_tag|Mus musculus|11|GSE179266_CnT-BS.CpG_counts_table.txt.gz(174MB), GSE179266_RAW.tar(668MB), GSE179266_unified-H3K27me3.peaks.bed.gz(159KB), GSE179266_unified-H3K4me1.peaks.bed.gz(306KB), GSE179266_unified-H3K9me3.peaks.bed.gz(186KB)|development,epigenetics|CUT&Tag-BS: an efficient and low-cost method for simultaneous profiling of histone modification and DNA methylation|challenge decipher complex relationship sequence limited input material developed low-input genomic binding sites status single-base resolution cells single experiment integrating tagmentation-based|multiomics
GSE185820|cut_and_tag|Mus musculus|5|GSE185820_HBO1_Cre_Cut_Tag_GeneBodyCounts_H3K14ac_Only.txt.gz(282KB), GSE185820_HBO1_Cre_Cut_Tag_TEStoTES5kbDownStreamCounts_H3K14ac_Only.txt.gz(184KB), GSE185820_HBO1_Cre_Cut_Tag_TSS5kbUpStreamToTSScounts_H3K14ac_Only.txt.gz(187KB), GSE185820_RAW.tar(1MB)|development,epigenetics,skeletal_muscle,hematopoiesis|The histone lysine acetyltransferase HBO1 regulates hematopoietic stem cell quiescence and self-renewal|KAT7 required acetylation H3K14ac normal levels gene expression progenitor cells HSPCs loss detected western blot whole bone marrow flow cytometry specific HSPC populations order determine|
GSE173240|cut_and_tag|Drosophila melanogaster|8|GSE173240_RAW.tar(143MB)|development,epigenetics,cell_stress|Cut&Tag of ZGA staged embryos|embryogenesis genome shifts transcriptionally quiescent extensively active process Zygotic Activation Drosophila pioneer factor Zelda essential progression development still regulates small subset|
GSE167539|cut_and_run|Mus musculus|10|GSE167539_ARID2Cl1_P28-5_geneTSS.bed.gz(81KB), GSE167539_ARID2Cl1_P28_geneTSS.bed.gz(117KB), GSE167539_P28-5ARID2-noIgG_Avg.bw(746MB), GSE167539_P28-5ARID2pks.bb(59KB), GSE167539_P28-5BRG1-noIgG_Avg.bw(634MB), GSE167539_P28ARID2-noIgG_Avg.bw(679MB), GSE167539_P28ARID2pks.bb(7MB), GSE167539_P28BRG1-noIgG_Avg.bw(590MB), GSE167539_RAW.tar(3.1GB)|development,epigenetics,reproduction,cell_cycle|Mammalian SWI/SNF chromatin remodeler is essential for reductional meiosis in males|CUT RUN map ARID2 BRG1 genomic associations late prophase-I metaphase-I spermatocytes|
GSE151899|cut_and_run|Mus musculus|71|GSE151899_EB10_RING1B_CR_peaks_annotated.txt.gz(562KB), GSE151899_ESC_CBX7_ChIP_peaks_annotated.txt.gz(643KB), GSE151899_ESC_H3K27me3_ChIP_annotated_peaks.txt.gz(805KB), GSE151899_ESC_H3K27me3_CR_peaks_annotated.txt.gz(428KB), GSE151899_ESC_RING1B_ChIP_peaks_annotated.txt.gz(654KB), GSE151899_ESC_RING1B_CR_annotated_peaks.txt.gz(887KB), GSE151899_ESC_RING1B_CR_peaks_annotated.txt.gz(863KB), GSE151899_NPC8_H3K27me3_ChIP_peaks_annotated.txt.gz(725KB), GSE151899_NPC8_RING1B_ChIP_peaks_annotated.txt.gz(517KB), GSE151899_NPC_timecourse_RING1B_ChIP_annotated_peaks.txt.gz(2MB), GSE151899_RAW.tar(19.0GB)|immunology,development,epigenetics|A Polycomb domain found in committed cells impairs differentiation when introduced into PRC1 in pluripotent cells (ChIP-seq, CUT&RUN datasets)|CBX family proteins central proper mammalian development via key Polycomb-mediated maintenance repression differentiated lineages chromatin compaction phase separation activities contribute|
GSE171136|cut_and_run|Homo sapiens|41|GSE171136_RAW.tar(4.3GB)|development,epigenetics,rna_biology,signal_transduction|The lncRNA HERVH negatively regulates chromatin targeting and remodeling mediated by CHD7 [CUT&RUN]|Chromodomain helicase DNA-binding protein encodes ATP-dependent remodeler required normal human development novo mutations major cause CHARGE syndrome features multiple developmental defects Previous|
GSE180029|cut_and_run|Mus musculus|4|GSE180029_RAW.tar(1.6GB)|development,gut_intestine|CUT&RUN Analysis of Satb2 Binding in Colonic Stem Cells and Differentiated Cells|Understanding difference|
GSE167289|cut_and_run|Mus musculus|15|GSE167289_SATB2KO_Colon_H3K27Ac_Combine.bw(241MB), GSE167289_SATB2KO_Colon_H3K4Me1_Combine.bw(191MB), GSE167289_SATB2KO_Colon_IgG.bw(105MB), GSE167289_WT_Colon_H3K27Ac_Combine.bw(231MB), GSE167289_WT_Colon_H3K4Me1_Combine.bw(224MB), GSE167289_WT_Colon_IgG.bw(194MB), GSE167289_WT_Ileum_H3K27Ac_Combine.bw(195MB), GSE167289_WT_Ileum_H3K4Me1_Combine.bw(169MB), GSE167289_WT_Ileum_IgG.bw(79MB)|development,epigenetics,gut_intestine,gene_regulation|Enhancer Analysis (CUT&RUN) of Intestine Epithelium from Satb2-deficient and WT mice|Understanding activity regulates colonic epithelial fate tissue plasticity|
GSE199611|cut_and_tag|Homo sapiens|30|GSE199611_RAW.tar(14MB)|epigenetics,cell_stress|CUT&Tag recovers up to half of ENCODE ChIP-seq peaks|comprehensively benchmarked H3K27ac H3K27me3 against published profiles K562 cells Across total new datasets experiment more regardless histone mark tested callers MACS2 SEACR identifying optimal|
GSE180860|cut_and_run|Homo sapiens|30|GSE180860_RAW.tar(4.8GB)|development,epigenetics,hematopoiesis,crispr_gene_editing,gene_regulation|NFI factors repress fetal hemoglobin in adult erythorid cells [CUT&RUN]|type b-globin-like genes HBG1 HBG2 silenced erythroid precursor basic biology question human development Reversal beneficial hemoglobinopathies sickle disease SCD CRISPR-Cas9 genetic screen uncovered|
GSE163098|cut_and_run|Human gammaherpesvirus 8; Homo sapiens|30|GSE163098_RAW.tar(4.0GB)|cancer,epigenetics,infectious_disease,skeletal_muscle,crispr_gene_editing,rna_biology,signal_transduction,eye_vision|Integrated analyses reveal CHD4 mediating establishment and maintenance of latent KSHV chromatin [CUT&RUN]|lncRNAs regulate protein via formation protein-RNA complexes Previous expression viral lncRNA polyadenylated nuclear RNA PAN essential inducible genomic looping distal gene activation Kaposi|
GSE168460|cut_and_run|Homo sapiens|14|GSE168460_RAW.tar(2.8GB)|cancer,epigenetics,hematopoiesis,drug_response,cell_stress|IKAROS and MENIN are Functionally Cooperative Therapeutic Targets in Acute Myeloid Leukemia [CUT&RUN]|RUN-seq chromatin occupancy H3K27-acetylation CTCF steady-state growth conditions assessed drug-treatment CC220 VTP-50469 drug combination DMSO-vehicle treated control|
GSE188290|cut_and_tag|Homo sapiens|6|GSE188290_arid1b_idr.bed.gz(91KB), GSE188290_arid2_idr.bed.gz(94KB)||CUT&Tag of ARID1B and ARID2 in MOLM13 cells|perform Cleavage Under Targets Tagmentation identify genomic binding sites MLL-AF9|
GSE181136|cut_and_run|Homo sapiens|18|GSE181136_Kas_C_ETO_Flag_Shared_Peaks.bed.gz(102KB), GSE181136_Kas_C_ETO-Flag-Shared_vs_Kas_KD_ETO-Flag-Shared_C-KD-Shared.bed.gz(75KB), GSE181136_Kas_C_ETO-Flag-Shared_vs_Kas_KD_ETO-Flag-Shared_C-Unique.bed.gz(27KB), GSE181136_Kas_C_ETO.Peaks.bed.gz(117KB), GSE181136_Kas_C_Flag.Peaks.bed.gz(186KB), GSE181136_Kas_KD_ETO_Flag_Shared_Peaks.bed.gz(113KB), GSE181136_Kas_KD_ETO-Flag-Shared_vs_Kas_C_ETO-Flag-Shared_KD-Unique.bed.gz(39KB), GSE181136_Kas_KD_ETO.Peaks.bed.gz(182KB), GSE181136_Kas_KD_Flag.Peaks.bed.gz(204KB)|cancer,development,hematopoiesis,rna_biology,gene_regulation|Global Identification of the miR-130a targetome in  human HSPC Reveals a Novel Role for TBL1XR1 in Hematopoietic Stem Cell Self-Renewal and t(8;21) AML [CUT&RUN]|Gene expression profiling proteome normal malignant cells firmly established existence shared core stemness properties discordance mRNA protein signatures underscores important post-transcriptional|
GSE186897|cut_and_run|Homo sapiens|12|GSE186897_RAW.tar(599MB)|cancer,epigenetics,drug_response,signal_transduction|Next-generation sequencing of CUT&RUN of MKL-1 Merkel cell carcinoma cells treated with EPZ011989|overarching goal characterize sensitivity EZH2 inhibitors lines end H3K27me3 H3K4me3 histone marks inhibitor days|
GSE197381|cut_and_run|Mus musculus; Homo sapiens|38|GSE197381_RAW.tar(7.9GB)|cancer,development,hematopoiesis,rna_biology,signal_transduction|NPM1c hijacks the active trancription in leukemia development [CUT&RUN]|Nucleophosmin ubiquitously expressed nucleolar protein wide range ribosome biogenesis mRNA processing maintenance genomic stability1-4 acute myeloid AML terminal exon often mutated adult AMLs|
GSE195725|cut_and_tag|Homo sapiens|24|GSE195725_RAW.tar(595MB)|epigenetics,signal_transduction|Characterizing cellular heterogeneity in chromatin state with scCUT&Tag-pro|New technologies profile modifications single-cell resolution offer enormous promise functional genomic characterization sparsity measurements challenge integrating multiple binding maps represent|
GSE175613|cut_and_tag|Homo sapiens|4|GSE175613_DMSO-BRD4.bw(456MB), GSE175613_DMSO-BRD4_peaks.narrowPeak.gz(1MB), GSE175613_I-BET151-BRD4.bw(456MB), GSE175613_I-BET151-BRD4_peaks.narrowPeak.gz(1MB)|development,drug_response|Robust Expansion of Human Pancreatic Progenitors by Small Molecules [CUT&TAG]|unlimited source functional cells highly demand Even recent advances like cell differentiation pluripotent stem hPSCs several hurdles obviously protocols need further improved Chemical strategies|
GSE179824|cut_and_run|Mus musculus|4|GSE179824_RAW.tar(1.1GB)|cancer,epigenetics,hematopoiesis|A PRC2-KDM5B-stemness regulatory axis sustains tumorigenicity of acute myeloid leukemia [ChIP-Seq]|leukemias AMLs NUP98-NSD1 MLL gene rearrangement MLL-r share transcriptomic profiles featured stemness-related signatures display poor prognosis clinic molecular underpinnings AML aggressiveness far|
GSE179168|cut_and_run|Homo sapiens|3|GSE179168_RAW.tar(248MB)|cancer,epigenetics,hematopoiesis|A PRC2-KDM5B-stemness regulatory axis sustains tumorigenicity of acute myeloid leukemia [CUT&RUN]|leukemias AMLs NUP98-NSD1 MLL gene rearrangement MLL-r share transcriptomic profiles featured stemness-related signatures display poor prognosis clinic molecular underpinnings AML aggressiveness far|
GSE173863|cut_and_run|Homo sapiens|6|GSE173863_RAW.tar(5.0GB)|immunology,development,epigenetics,gene_regulation|EBF1 nuclear repositioning instructs chromatin refolding to promote therapy resistance in T leukemic cells. [DND41_Cut&Run]|Purpose investigate genome organization drug-resistant T-ALL Methods multiple epigenomics conformation transcriptomic assays adaptation GSI-sensitive GSI-resistant report T/B lineage determining|
GSE186966|cut_and_tag|Homo sapiens|18|GSE186966_patient_tumor_HBCx106_H3K27me3_H3K4me3_bivalence_TSS.csv.gz(24KB), GSE186966_patient_tumor_HBCx130_H3K27me3_H3K4me3_bivalence_TSS.csv.gz(36KB), GSE186966_patient_tumor_HBCx144_H3K27me3_H3K4me3_bivalence_TSS.csv.gz(43KB), GSE186966_patient_tumor_HBCx147_H3K27me3_H3K4me3_bivalence_TSS.csv.gz(34KB), GSE186966_patient_tumor_HBCx166_H3K27me3_H3K4me3_bivalence_TSS.csv.gz(24KB), GSE186966_patient_tumor_HBCx167_H3K27me3_H3K4me3_bivalence_TSS.csv.gz(83KB), GSE186966_patient_tumor_HBCx172_H3K27me3_H3K4me3_bivalence_TSS.csv.gz(1MB), GSE186966_patient_tumor_HBCx39_H3K27me3_H3K4me3_bivalence_TSS.csv.gz(18KB), GSE186966_patient_tumor_HBCx95_H3K27me3_H3K4me3_bivalence_TSS.csv.gz(1MB), GSE186966_RAW.tar(1.3GB)|cancer,drug_response|H3K27me3 conditions chemotolerance  in triple-negative breast cancer [CUT&TAG]|worst prognosis highest risk recurrence among subtypes1 Residual disease formed cells persistent chemotherapy major clinical challenge towards full cure2 now consensus non-genetic processes|
GSE178559|cut_and_tag|Danio rerio|6|GSE178559_24hpf_H2AZ_broadPeak.bed.gz(2MB), GSE178559_24hpf_H2AZ_RPKM.bw(108MB), GSE178559_6hpf_H2AZ_broadPeak.bed.gz(934KB), GSE178559_6hpf_H2AZ_RPKM.bw(33MB)|development,epigenetics,signal_transduction|Identification of chromatin states during zebrafish gastrulation using CUT&RUN and CUT&Tag|describe successful implementation profiling protein-DNA interactions embryos optimized protocol generate high resolution maps enrichment histone variant H2A development able establish dynamics|
GSE195553|cut_and_run|Homo sapiens|6|GSE195553_RAW.tar(396MB)|development,epigenetics,crispr_gene_editing,drug_response,gene_regulation|dCas9 Fusion to Computer Designed PRC2 Inhibitor Reveals Functional TATA Box in Distal Promoter Region [AutoCUT&RUN]|critical process development bifurcation cellular fates requires epigenetic H3K27me3 marks propagated complex precise chromatin loci identify sites high resolution fused computationally protein EED|
GSE185032|cut_and_tag|Mus musculus|7|GSE185032_RAW.tar(205MB)|immunology,development,epigenetics,plant_biology|Chemical-induced chromatin remodeling reprograms mouse ESCs to totipotent-like stem cells [CUT&Tag 2]|more robust developmental potency other types giving rise embryonic extraembryonic tissues Stable cultures deciphering principles totipotency regulation invaluable understand plasticity lineage|
GSE166210|cut_and_tag|Mus musculus|40|GSE166210_K-273_broadpeaks_embl.bed.gz(59KB), GSE166210_K-273_embl.bw(84MB), GSE166210_K-27ac_embl.bw(67MB), GSE166210_K-27ac_narrowpeaks_embl.bed.gz(71KB), GSE166210_K-41_broadpeaks_embl.bed.gz(60KB), GSE166210_K-41_embl.bw(130MB), GSE166210_K-43_broadpeaks_embl.bed.gz(145KB), GSE166210_K-43_embl.bw(18MB), GSE166210_K-43_narrowpeaks_embl.bed.gz(150KB), GSE166210_K-IgG_embl.bw(3MB), GSE166210_S-273_broadpeaks_embl.bed.gz(138KB), GSE166210_S-273_embl.bw(65MB), GSE166210_S-27ac_embl.bw(114MB), GSE166210_S-27ac_narrowpeaks_embl.bed.gz(90KB), GSE166210_S-41_broadpeaks_embl.bed.gz(226KB), GSE166210_S-41_embl.bw(123MB), GSE166210_S-43_broadpeaks_embl.bed.gz(212KB), GSE166210_S-43_embl.bw(23MB), GSE166210_S-43_narrowpeaks_embl.bed.gz(233KB), GSE166210_SA-273_broadpeaks_embl.bed.gz(129KB), GSE166210_SA-273_embl.bw(111MB), GSE166210_SA-27ac_embl.bw(69MB), GSE166210_SA-27ac_narrowpeaks_embl.bed.gz(121KB), GSE166210_SA-41_broadpeaks_embl.bed.gz(232KB), GSE166210_SA-41_embl.bw(116MB), GSE166210_SA-43_broadpeaks_embl.bed.gz(218KB), GSE166210_SA-43_embl.bw(18MB), GSE166210_SA-43_narrowpeaks_embl.bed.gz(239KB), GSE166210_SA-IgG_embl.bw(3MB), GSE166210_S-IgG_embl.bw(3MB), GSE166210_WT-273_broadpeaks_embl.bed.gz(94KB), GSE166210_WT-273_embl.bw(64MB), GSE166210_WT-27ac_embl.bw(29MB), GSE166210_WT-27ac_narrowpeaks_embl.bed.gz(116KB), GSE166210_WT-41_broadpeaks_embl.bed.gz(106KB), GSE166210_WT-41_embl.bw(160MB), GSE166210_WT-43_broadpeaks_embl.bed.gz(213KB), GSE166210_WT-43_embl.bw(10MB), GSE166210_WT-43_narrowpeaks_embl.bed.gz(244KB), GSE166210_WT-IgG_embl.bw(3MB)|immunology,development,epigenetics,plant_biology|Chemical-induced chromatin remodeling reprograms mouse ESCs to totipotent-like stem cells [CUT&Tag]|more robust developmental potency other types giving rise embryonic extraembryonic tissues Stable cultures deciphering principles totipotency regulation invaluable understand plasticity lineage|
GSE165217|cut_and_tag|Mus musculus|12|GSE165217_RAW.tar(3.8GB)|development,epigenetics|Spatial-CUT&Tag: Spatially resolved chromatin modification profiling at the cellular level|omics emerged new frontier biological biomedical research present genome-wide histone modifications combining situ chemistry microfluidic deterministic barcoding next-generation sequencing states|
GSE158114|cut_and_run|Homo sapiens|13|GSE158114_RAW.tar(3.2GB)||CUT&RUN analysis of PRC2 and KMT2D-COMPASS direct targets in non-convertible HMLER cells|binding sequences technique HMLER-C1 epithelial EED-KO C1-KMT2D-KO|
GSE167081|cut_and_run|Mus musculus|11|GSE167081_diff_peaks_G125R_H3K27ac_CR.xlsx(269KB)|cardiovascular,infectious_disease,gene_regulation|TBX5 G125R induces profound transcriptional deregulation and atrial dysfunction in vivo [CUT&RUN]|Rationale Pathogenic variants gene T-box factor cause Holt-Oram syndrome HOS characterized congenital heart defects limb abnormalities particular missense variant Dutch family causes atypical early|
GSE190987|cut_and_run|Mus musculus|12|GSE190987_RAW.tar(1.8GB)|neuroscience,epigenetics,crispr_gene_editing|CRISPR and biochemical screens Identify MAZ as a co-factor in CTCF-mediated insulation at Hox Clusters [CUT&RUN_set1]|experiment sought distribution RAD21 H3K27me3 H3K4me3 change double-positive HoxA cervical motor neurons MNs|
GSE194014|cut_and_tag|Mus musculus|17|GSE194014_RAW.tar(565MB)|development,crispr_gene_editing,gene_regulation|CUT&Tag for GATA factors, H3K27ac and H3K27me3 in female XEN and TS cells|master regulator X-chromosome inactivation XCI Xist RNA expressed nearly ubiquitously mice absent germ line pluripotent state generally assumed default females while actively repressed few tissues|
GSE186991|cut_and_run|Mus musculus|6|GSE186991_F-H3K4_1_annotated_regions.txt.gz(231KB), GSE186991_F-H3K4_2_annotated_regions.txt.gz(9KB), GSE186991_F-TAF4b_1_annotated_peaks.txt.gz(27KB), GSE186991_F-TAF4b_2_annotated_peaks.txt.gz(30KB)|neuroscience,development,reproduction,cell_cycle|CUT&RUN of TAF4b and H3K4me3 in E16.5 oocytes|Research Taf4b-deficient female mice display excessive perinatal germ cell death delayed cyst breakdown increased chromosome asynapsis hypothesized part TFIID regulates oogenesis meiotic gene|
GSE162586|cut_and_run|Mus musculus|24|GSE162586_RAW.tar(6.4GB)|epigenetics|Cut&Run on Id4-GFP bright + med germ cells (~SSC) at 10dpp for H3K27me3, H3K27ac and H3K9me3|evaluate impacts Dnmt3A mutation methylome male mutant control whole genome bisulfite sequencing experiments conducted starting genomic DNA obtained FACS-sorted|
GSE188765|cut_and_tag|Mus musculus|8|GSE188765_RAW.tar(1.7GB)|neuroscience,microbiology|Genome-wide identification of transcriptional targets for H4K12la in total brain cells and microglia of WT and 5XFAD mice|level elevated plaque-adjacent further explore potential functional significance cleavage under tagmentation CUT Tag identify candidate genes regulated Following H4K12la-associated DNAs amplified|
GSE190148|cut_and_tag|Mus musculus|8|GSE190148_RAW.tar(392MB)|development,skeletal_muscle,hematopoiesis|CUT&Tag-seq for H3K27ac in hematopoietic stem cells in bone marrow after 5-FU administration|Purpose goals elucidate regulation HSC divisions Methods wild type mice treated 5-fluorouracil 12500 HSCs sorted subjected analyze profile Next-seq sequence reads passed quality filters analyzed|
GSE193078|cut_and_run|Mus musculus|64|GSE193078_RAW.tar(69.9GB)|epigenetics,gene_regulation|Characterization of sequence determinants of enhancer function using natural genetic variation [CUT&RUN]|enhancers class cis-regulatory elements control cell type-specific transcription contributes phenotypic within human populations short DNA sequences 200 composed multiple binding sites 4-10 factors|
